""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"
"K01912"	1.02435231259406	-1.81450536351025	3.02024253241555	-0.600781342569542	0.547985632458539	NA	"K01912"	"Metabolism"	"Amino acid metabolism"	" Phenylalanine metabolism"
"K01914"	120.109483445334	5.08441591222428	1.72355032689479	2.9499666083929	0.00317808275373601	0.0146111557168669	"K01914"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K01915"	251.14259436085	3.14063306302723	1.44281094927016	2.17674606961911	0.029499518895042	0.061621217247421	"K01915"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K01916"	56.1410879238371	4.91509901079322	2.36974091552018	2.07410817722844	0.0380692653139061	0.0747599778448573	"K01916"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Nicotinate and nicotinamide metabolism"
"K01918"	1.81540935688114	0.211199229999912	2.70693018500315	0.078021676055774	0.937810810549707	NA	"K01918"	"Metabolism"	"Metabolism of other amino acids"	" beta-Alanine metabolism"
"K01919"	35.2676199743147	4.39063728913526	1.95337243510469	2.24772153544798	0.0245939519018324	0.0532680064233237	"K01919"	"Metabolism"	"Amino acid metabolism"	" Cysteine and methionine metabolism"
"K01920"	0.797464010462858	-0.0500855702971297	2.87496663430557	-0.0174212701112712	0.986100540634694	NA	"K01920"	"Metabolism"	"Amino acid metabolism"	" Cysteine and methionine metabolism"
"K01921"	90.8048714097107	4.16185264770364	1.71291399627609	2.42969154128671	0.0151116776860132	0.0382539776252759	"K01921"	"Metabolism"	"Metabolism of other amino acids"	" D-Alanine metabolism"
"K01922"	0	0	0	0	1	NA	"K01922"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Pantothenate and CoA biosynthesis"
"K01923"	24.6738121337756	4.93450331610656	1.88543490128103	2.61716981729461	0.00886622196745405	0.0268631290579151	"K01923"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K01924"	255.624932497133	5.46172258098181	1.95073694576102	2.79982526237083	0.0051130275921553	0.0196279380321916	"K01924"	"Metabolism"	"Metabolism of other amino acids"	" D-Glutamine and D-glutamate metabolism"
"K01925"	79.157626655481	6.81256334074975	2.09084170161553	3.25828748081975	0.00112086794846495	0.00845146421035072	"K01925"	"Metabolism"	"Metabolism of other amino acids"	" D-Glutamine and D-glutamate metabolism"
"K01926"	19.7203141432125	20.8854349259842	2.59222840789228	8.05694238300784	7.82264991056794e-16	2.90261483523705e-14	"K01926"	NA	NA	NA
"K01928"	73.1421507464203	6.30297238206233	1.76723177549052	3.56657936410907	0.000361671311776477	0.00511784642028165	"K01928"	"Metabolism"	"Amino acid metabolism"	" Lysine biosynthesis"
"K01929"	65.2417218173069	5.37100525301522	1.56880693347497	3.42362411741657	0.000617920265111119	0.0067098121034231	"K01929"	"Metabolism"	"Amino acid metabolism"	" Lysine biosynthesis"
"K01930"	0.219453377998855	0.199959730981838	3.04854650346272	0.0655918257289865	0.947702797223033	NA	"K01930"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Folate biosynthesis"
"K01933"	38.0420284181125	3.52819706810859	1.82145827040111	1.9370177870348	0.0527431691317865	0.0955885198917982	"K01933"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K01934"	19.8363234783623	2.33563876231658	2.0002849652437	1.16765301089589	0.242946757922489	0.329063332056397	"K01934"	"Metabolism"	"Metabolism of cofactors and vitamins"	" One carbon pool by folate"
"K01935"	4.61167885841963	1.2303783672417	2.03249888354544	0.605352542725857	0.544944776590366	0.645242804916981	"K01935"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Biotin metabolism"
"K01937"	101.121105933167	5.13690702801973	1.47930567117071	3.47251222524851	0.000515611528249158	0.00634104385280161	"K01937"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"
"K01938"	80.475096383036	6.33912194689108	1.866995527283	3.39536000716417	0.000685384141216847	0.00695482095757055	"K01938"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01939"	151.635247298225	7.17729656802077	1.92589449590044	3.72673403620954	0.000193976955935551	0.00359878299827799	"K01939"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K01940"	85.9469146758828	4.80646723020798	1.8451471166374	2.60492357865063	0.00918947541706535	0.0275266025542319	"K01940"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K01942"	1.85940816588813	0.720238141729823	2.33433223276894	0.308541402812868	0.757670400952818	NA	"K01942"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Biotin metabolism"
"K01945"	6.12025919901846	3.86652815241013	2.07746920005991	1.86117231114599	0.062719847192849	0.109857123654555	"K01945"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K01947"	0	NA	NA	NA	NA	NA	"K01947"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Pantothenate and CoA biosynthesis"
"K01950"	7.34960567741265	3.20771903212675	2.09141790248928	1.53375326294607	0.125090364886851	0.190077260679907	"K01950"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Nicotinate and nicotinamide metabolism"
"K01951"	237.978580747587	4.52169257525347	1.50846107693893	2.99755336374286	0.00272156206612515	0.0137541308718153	"K01951"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K01952"	21.6798013074432	21.0138296711347	2.60984097355409	8.05176632755445	8.16076037724353e-16	2.95042875177266e-14	"K01952"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K01953"	6.9669148809734	0.251441353835696	1.96854621322887	0.127729464589645	0.898363071703393	0.928659773535032	"K01953"	"Metabolism"	"Amino acid metabolism"	" Alanine, aspartate and glutamate metabolism"
"K01954"	0	NA	NA	NA	NA	NA	"K01954"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"
"K01955"	52.92780212889	4.88147102841237	1.40753907571888	3.46808917252918	0.00052417332077734	0.00634104385280161	"K01955"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"
"K01956"	51.8317566497438	2.6583995525801	1.4844926628076	1.79077985306597	0.073328629524319	0.125325294096109	"K01956"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"
"K01958"	1.27885233650776	-2.09252668599746	3.01201919466588	-0.694725548131702	0.487227314104774	NA	"K01958"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01959"	3.38325382674876	3.53875390789412	2.55020420807088	1.3876355064801	0.165248063781436	NA	"K01959"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01960"	0	NA	NA	NA	NA	NA	"K01960"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01961"	169.526957099855	5.5978123094253	1.73124762114998	3.23339783462459	0.0012232708104368	0.00884518893700456	"K01961"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01962"	291.539641977849	7.29910651924495	1.73946989382206	4.19616720310516	2.71469868711319e-05	0.0007974427393395	"K01962"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01963"	242.782943556696	4.46478515441656	1.55499101469667	2.87126106338787	0.0040883772739171	0.017311147015685	"K01963"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01966"	2.14676043404212	2.94642483531081	2.82797768395762	1.04188404739723	0.297465441037142	NA	"K01966"	"Metabolism"	"Overview"	" Carbon metabolism"
"K01968"	0.309896358314097	-0.527197310639126	3.04723910323299	-0.17300818635459	0.862644992878099	NA	"K01968"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"
"K01969"	0.535030665342887	-0.583857678492526	3.04160213637113	-0.19195728182553	0.847775667249102	NA	"K01969"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"
"K01972"	55.8866615555306	5.46677229454736	1.83941343337108	2.9720193379954	0.00295848049278706	0.0142370562963473	"K01972"	"Genetic Information Processing"	"Replication and repair"	" DNA replication"
"K01974"	0.395062365296031	0.955252802665242	3.04632909059027	0.313575051893079	0.753843810185423	NA	"K01974"	NA	NA	NA
"K01975"	2.17284300912817	2.92257482358322	2.87984188124111	1.01483864187838	0.310182750456014	NA	"K01975"	NA	NA	NA
"K01985"	0	0	0	0	1	NA	"K01985"	"Genetic Information Processing"	"Translation"	" Ribosome"
"K01989"	63.8387226866424	22.5037849034974	2.47889672786352	9.07814539046681	1.1044056954869e-19	1.00789509695026e-17	"K01989"	NA	NA	NA
"K01990"	360.431717154637	4.57288466637624	1.51021811968742	3.02796305167012	0.00246208188467795	0.013199754590859	"K01990"	NA	NA	NA
"K01991"	0.204870462518811	-0.487888561715543	3.04778277529214	-0.160079834321125	0.872818186192335	NA	"K01991"	"Cellular Processes"	"Cellular community - prokaryotes"	" Biofilm formation - Escherichia coli"
"K01992"	204.654581364151	4.70767585600891	1.63372260768405	2.88156375743766	0.003957071686151	0.016938083722434	"K01992"	NA	NA	NA
"K01993"	5.59180737056508	0.72068046432292	1.94272195494163	0.370964286726545	0.710664131869342	0.785910922302566	"K01993"	NA	NA	NA
"K01995"	6.75422749216375	3.69931917664606	2.00740495777703	1.84283652499426	0.065352882213548	0.113342637049327	"K01995"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K01996"	234.908680207548	6.69042186638906	2.0349724674903	3.28772107400561	0.00101001853655191	0.00809162577578517	"K01996"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K01997"	20.2962572477012	4.8173567630869	1.73500633310571	2.77656436819092	0.00549367559075538	0.0202744373974646	"K01997"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K01998"	156.836832822426	6.7675755161347	2.03470825032154	3.32606677889336	0.000880808234720513	0.0075728025058288	"K01998"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K01999"	180.314932516062	4.98038811215329	1.91927292103751	2.59493480972004	0.00946088615679026	0.027901995838315	"K01999"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02000"	2.80370201610487	0.752209413268637	2.4702083642763	0.304512535924884	0.760737443661579	NA	"K02000"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02001"	3.26224274549562	0.528695468546445	2.49040601364306	0.212292881421792	0.831878548671613	NA	"K02001"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02002"	2.82648364881091	-0.542023225255197	2.25396666786498	-0.24047526211584	0.809961838644811	NA	"K02002"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02003"	94.7458103994695	5.10923504690282	1.83621406269575	2.78248334478059	0.00539446340267127	0.020016298415175	"K02003"	NA	NA	NA
"K02004"	116.029979869577	3.92919095954297	1.53721778584691	2.55604052706054	0.010587078752915	0.0299398969030298	"K02004"	NA	NA	NA
"K02005"	23.1254265747674	2.71859962108695	1.91665034565061	1.41841188052697	0.156070549035099	0.227795999964683	"K02005"	NA	NA	NA
"K02006"	13.5439640007369	5.45718132927558	2.36348816240459	2.3089522579726	0.0209462306483481	0.0474826128845189	"K02006"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02007"	2.15606419153529	1.3095077573024	2.63684422273711	0.496619309555986	0.619457533706901	NA	"K02007"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02008"	1.17018146739449	2.18423088060486	3.02715882750833	0.721544856106119	0.470574352933906	NA	"K02008"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02009"	0	0	0	0	1	NA	"K02009"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02010"	1.53664988128923	1.61482031686334	2.90947111747865	0.555021944422238	0.578879650648816	NA	"K02010"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02011"	10.6639199808828	4.69980243239653	2.07532566619761	2.2646096026979	0.0235366471230126	0.0514522053386787	"K02011"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02012"	0	0	0	0	1	NA	"K02012"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02013"	61.8612794875334	3.0321652803686	1.55721240435552	1.94717513929868	0.0515137411194657	0.0938428617292592	"K02013"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02014"	20.6282176221151	-0.50167500560632	1.43121156965143	-0.350524699663029	0.725944956855012	0.795324311705958	"K02014"	NA	NA	NA
"K02015"	43.8528129840858	3.16050233876467	1.68475244898001	1.87594464734455	0.0606628810276	0.106918327811145	"K02015"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02016"	47.7426829560944	3.81753998493033	1.82930590120671	2.08687895360315	0.0368990778134817	0.0729701258303074	"K02016"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02017"	1.23402426088644	2.23555534875782	2.95463525650128	0.756626505366026	0.449273657161458	NA	"K02017"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02018"	2.42825907297459	-0.770911966754966	2.46932216164624	-0.312195783413298	0.754891736428907	NA	"K02018"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02019"	0	0	0	0	1	NA	"K02019"	NA	NA	NA
"K02020"	1.01694609772192	-1.75334720095983	3.01447777280101	-0.581642106231437	0.560807774895171	NA	"K02020"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02021"	0	NA	NA	NA	NA	NA	"K02021"	NA	NA	NA
"K02022"	0.790124730592062	1.74150416879952	3.03551804204574	0.573709048892972	0.566164703909882	NA	"K02022"	NA	NA	NA
"K02024"	0.900331931069104	0.68671642334769	2.84132020784556	0.241689205409339	0.809020994472532	NA	"K02024"	NA	NA	NA
"K02025"	3.45210846342616	1.48638824680135	1.92422964554618	0.772458864378141	0.439842701502726	NA	"K02025"	NA	NA	NA
"K02026"	11.5804730143141	2.90328139229577	1.84807516854569	1.57097581403058	0.116188266813947	0.180822799346208	"K02026"	NA	NA	NA
"K02027"	19.2255239047967	3.29688575835466	1.90726383460138	1.72859449151339	0.0838816962102651	0.139144931360557	"K02027"	NA	NA	NA
"K02028"	263.272684015366	5.86368290849754	1.70546920468037	3.43816405034207	0.00058567276403356	0.00661670737094504	"K02028"	NA	NA	NA
"K02029"	284.109934239617	8.07742833700056	1.93221331281248	4.18040196878846	2.90994241778773e-05	0.000837350777363408	"K02029"	NA	NA	NA
"K02030"	428.362333110054	6.16421270602605	2.00045713598281	3.08140204313731	0.00206028254537966	0.011954725880598	"K02030"	NA	NA	NA
"K02031"	24.3511939904367	5.52644232345242	1.93933905311547	2.84965247029622	0.00437670225735938	0.0180026202460396	"K02031"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02032"	9.92092921882232	2.01018370783863	2.51139076473771	0.800426495176896	0.423463735224891	0.52357554270732	"K02032"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02033"	51.9312811335664	2.5735010169561	2.29902528324457	1.11938787089987	0.262974703157701	0.351797278417797	"K02033"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02034"	2.67088728001072	1.82768440274153	2.26486700349587	0.806972064991214	0.419682577627451	NA	"K02034"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02035"	278.085768023225	4.98824087894672	1.66654889602762	2.99315603090715	0.0027610854957622	0.013805427478811	"K02035"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02036"	270.18543748968	4.74531942733519	1.53125154916208	3.09898098057886	0.00194187485651804	0.0114959642740415	"K02036"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02037"	44.2049848079906	3.20946054463828	1.90728830052546	1.68273487744567	0.0924264267650693	0.151009573277807	"K02037"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02038"	127.971240679076	5.32748854996489	1.59258523942527	3.34518267410758	0.00082228392952274	0.0072960253682822	"K02038"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02039"	13.4608974162002	1.52522777281757	1.82689397839936	0.834874815315726	0.403788196103743	0.505631755334173	"K02039"	NA	NA	NA
"K02040"	119.32691135717	4.2034149281798	1.85326530504219	2.26811289066036	0.0233223268847978	0.0513820014180703	"K02040"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02041"	4.39090858891535	3.85795204176116	2.54563487954593	1.51551664881702	0.129641617365611	NA	"K02041"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02042"	0.0443899530294376	0.392076606020678	3.04881020391952	0.128599873326529	0.897674266547127	NA	"K02042"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02043"	4.30009668224694	2.73946936966079	2.43088138370138	1.1269448966241	0.259765779419552	NA	"K02043"	NA	NA	NA
"K02044"	17.7402569383512	3.83297097628855	1.98865995764501	1.92741396615014	0.0539280604826422	0.0969879659190377	"K02044"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02045"	1.91297965274523	-0.0530953726643534	2.50557196241958	-0.0211909190638773	0.983093358194661	NA	"K02045"	"Metabolism"	"Energy metabolism"	" Sulfur metabolism"
"K02046"	1.43508432537046	-1.52522384185704	2.46890632030081	-0.617773071953255	0.536724936325419	NA	"K02046"	"Metabolism"	"Energy metabolism"	" Sulfur metabolism"
"K02047"	0.106571028042313	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K02047"	"Metabolism"	"Energy metabolism"	" Sulfur metabolism"
"K02048"	5.81180067372784	-0.249416070010736	2.30011572444059	-0.108436313599568	0.913649596864193	0.939639629160111	"K02048"	"Metabolism"	"Energy metabolism"	" Sulfur metabolism"
"K02049"	3.80926891518144	2.90035924457548	2.61024306923958	1.11114527177748	0.266505823848302	NA	"K02049"	NA	NA	NA
"K02050"	3.99594332846163	2.03057674503903	2.61506302444144	0.776492469229397	0.43745826560144	NA	"K02050"	NA	NA	NA
"K02051"	0.395062365296031	0.955252802665242	3.04632909059027	0.313575051893079	0.753843810185423	NA	"K02051"	NA	NA	NA
"K02052"	0.868203563517289	0.594584903482487	3.04632906400709	0.195180786773042	0.845251419730964	NA	"K02052"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02053"	1.56426917978813	1.95160126648053	2.44506321314493	0.798180290795146	0.42476587314123	NA	"K02053"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02054"	3.56846768764223	-1.14786435465914	2.25272288321676	-0.509545298807485	0.61037005499298	NA	"K02054"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02055"	0.0887799060588752	0.545392765812854	3.0485691526177	0.178901228251471	0.858015258340889	NA	"K02055"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"
"K02056"	99.9507820578712	5.8087384002802	1.7997463864928	3.22753163661009	0.00124863232824242	0.00884771681126843	"K02056"	NA	NA	NA
"K02057"	260.373661751596	5.58347631989048	1.64593543796096	3.39228148997599	0.000693131922309083	0.00695482095757055	"K02057"	NA	NA	NA
"K02058"	10.8714284482756	-4.99634629412195	2.19592661295508	-2.27527926691425	0.0228891823741315	0.050744885452084	"K02058"	NA	NA	NA
"K02062"	1.77778064383214	0.342195374864652	2.96972678375566	0.115227897979186	0.908264486559728	NA	"K02062"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02063"	3.52401223089239	-0.381183775605168	2.25328370234956	-0.169168123484716	0.865664402163433	NA	"K02063"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02064"	2.50000475521652	-1.45033239202244	2.42782989090519	-0.597378093685836	0.550254976027564	NA	"K02064"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02065"	3.37543562295474	-0.370835198360209	2.09070699827684	-0.177373108075809	0.859215329032158	NA	"K02065"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02066"	6.06662034646967	1.34596057685101	2.252352683578	0.597579849134845	0.55012031315685	0.647470485435023	"K02066"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02067"	3.39523727680202	1.12851119279703	2.10044574075709	0.537272242219531	0.591079576213189	NA	"K02067"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02068"	0.294577958857199	1.04691178385124	3.04529625654866	0.343779946400928	0.731011782524061	NA	"K02068"	NA	NA	NA
"K02069"	0.439452318325469	1.10731208329934	3.04464626698652	0.363691537932028	0.716088363011222	NA	"K02069"	NA	NA	NA
"K02071"	72.4548212988367	5.20373898156431	1.78430846013691	2.91638979348057	0.00354107797636704	0.01594782685726	"K02071"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02072"	103.91994264167	5.17009350539113	1.80759623574802	2.8602037352947	0.00423368924561643	0.0177601466630997	"K02072"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02073"	110.756786894288	5.12558055095397	1.52187023629619	3.36794848122414	0.000757297459096378	0.00707145309487347	"K02073"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"
"K02074"	0	0	0	0	1	NA	"K02074"	NA	NA	NA
"K02075"	0.816766919075688	1.81946724583057	3.03386800632717	0.599718656855224	0.548693752239581	NA	"K02075"	NA	NA	NA
"K02076"	0	0	0	0	1	NA	"K02076"	NA	NA	NA
"K02077"	1.18518709588809	2.16743095747758	3.02743423414422	0.715929988844254	0.474034580021239	NA	"K02077"	NA	NA	NA
"K02078"	438.937377133834	3.96920478325862	1.39159689331189	2.85226620031626	0.00434087318227146	0.0180018564323611	"K02078"	"Metabolism"	"Lipid metabolism"	" Fatty acid biosynthesis"
"K02079"	0.512176156297029	-1.09375478648152	3.0406716881438	-0.35970828114929	0.71906529856057	NA	"K02079"	"Metabolism"	"Carbohydrate metabolism"	" Galactose metabolism"
"K02080"	1.12438250445792	-1.89863649048395	2.97020809671538	-0.639226757405843	0.522675427720698	NA	"K02080"	"Metabolism"	"Carbohydrate metabolism"	" Galactose metabolism"
"K02081"	3.94290381792593	-0.179507559597131	1.86027255878145	-0.0964953005137672	0.923127206157405	NA	"K02081"	NA	NA	NA
"K02082"	0.0443899530294376	0.392076606020678	3.04881020391952	0.128599873326529	0.897674266547127	NA	"K02082"	NA	NA	NA
"K02083"	0.947284160597122	1.33852755482028	2.59866443770023	0.515082876958462	0.606495107583361	NA	"K02083"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K02086"	117.955131144459	23.3630302887128	2.48935191131242	9.3851858319202	6.28055905938092e-21	1.26508403910387e-18	"K02086"	NA	NA	NA
"K02087"	0	NA	NA	NA	NA	NA	"K02087"	"Cellular Processes"	"Cell growth and death"	" Cell cycle"
"K02100"	7.76285243461212	-0.274223475716828	2.13662395306398	-0.128344286004837	0.897876519716458	0.928659773535032	"K02100"	NA	NA	NA
"K02103"	0.221949765147188	0.900503494708197	3.0469736878989	0.295540292416886	0.767581177240925	NA	"K02103"	NA	NA	NA
"K02106"	1.30964016675989	-0.15150545798822	2.99937698260662	-0.0505123093451741	0.959714140488428	NA	"K02106"	"Environmental Information Processing"	"Signal transduction"	" Two-component system"
"K02107"	0	NA	NA	NA	NA	NA	"K02107"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02108"	178.370977270928	4.8689891989287	1.74926030599986	2.78345605981474	0.00537831469708228	0.0200090335696201	"K02108"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02109"	246.639343786027	5.05689576125089	1.92195408237507	2.63112204793249	0.00851034676016649	0.0261999758337003	"K02109"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02110"	269.61261874944	2.87229522786444	1.60670283904575	1.7876953709563	0.0738251689822319	0.125868788712149	"K02110"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02111"	248.814993047017	5.0599486050441	1.73554999170314	2.91547269121221	0.00355150186750329	0.01594782685726	"K02111"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02112"	290.228127765966	4.14339257240625	1.6399562505831	2.5265262844256	0.0115196767976936	0.0317861923380586	"K02112"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02113"	108.804035827378	4.56538454084521	1.91883474252582	2.37924842596692	0.017347980076454	0.0416916116098534	"K02113"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02114"	271.418604216747	5.90207028445516	1.8908521783147	3.12138111701341	0.00180004910289764	0.0111023247452392	"K02114"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02115"	123.020440962966	5.70082145804303	1.67053741756576	3.41256735592912	0.000643540212740873	0.00678446869790625	"K02115"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02116"	0.417639369762503	1.2530155472454	3.04317339756363	0.41174635275419	0.680525346375805	NA	"K02116"	NA	NA	NA
"K02117"	3.2851640139053	3.4754597968999	2.42775092302445	1.43155533952809	0.15227111870876	NA	"K02117"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02118"	4.41161690409691	3.85693429071154	2.83093088057445	1.36242616065882	0.17306343236835	NA	"K02118"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02119"	2.4653756109026	3.09113764966642	2.86060092560034	1.08059031303631	0.279879393444193	NA	"K02119"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02120"	8.39684725964556	4.33153945978551	2.87908685728989	1.50448377367219	0.132456848273737	0.198896864819989	"K02120"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02121"	0.234036293478898	0.884670093918916	3.04716406753483	0.290325717392243	0.771567066078061	NA	"K02121"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02122"	0	0	0	0	1	NA	"K02122"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02123"	0	NA	NA	NA	NA	NA	"K02123"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02124"	1.17018146739449	2.18423088060486	3.02715882750833	0.721544856106119	0.470574352933906	NA	"K02124"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02125"	0	NA	NA	NA	NA	NA	"K02125"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02126"	0	0	0	0	1	NA	"K02126"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02127"	0.307305693778217	-0.733707374026243	3.04458166873313	-0.240987910280476	0.809564486636076	NA	"K02127"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02128"	4.79569626190411	-3.92694254320332	2.97748658653105	-1.31887833213665	0.187209791114614	0.263965805471606	"K02128"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02129"	0	NA	NA	NA	NA	NA	"K02129"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02132"	0.681214643042422	0.61604246837029	3.04084210266103	0.20258943002374	0.839455952308686	NA	"K02132"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02133"	2.5277104910404	1.76212312827085	2.25120654182866	0.782746094385224	0.433776228288911	NA	"K02133"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02134"	6.14869005977549	-4.26430591646579	2.77828031837233	-1.53487244907096	0.124815162226248	0.190077260679907	"K02134"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02135"	0.204870462518811	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K02135"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02136"	1.78048572984611	-2.51624854721922	2.85716556889769	-0.880679990900913	0.378491049702254	NA	"K02136"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
"K02137"	1.03675970294278	-1.83011824999609	2.98874520781327	-0.612336657274007	0.54031504120266	NA	"K02137"	"Metabolism"	"Energy metabolism"	" Oxidative phosphorylation"
