	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	MOC 	NEG1	M11	M12	M13	M14	M15	M16	M17	M19	M20	NEG2
K01579|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	172.637	0	0	0	0	0	0	0	0	0	0	0
K01579|g__Veillonella.s__Veillonella_parvula	0	487.769	0	0	887.083	484.526	1346.296	217.414	380.582	170.59	975.019	0	258.274	0	0	0	286.643	0	0	0	0	0
K01579|unclassified	0	0	0	0	4.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01585	0	0	0	0	0	0	4.462	0	0	1.115	312.21	0	2.23	0	0	0	1.115	0	0	0	0	0
K01585|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	4.462	0	0	1.115	312.21	0	2.23	0	0	0	1.115	0	0	0	0	0
K01586	0	7.874	0	0	24.844	7.456	34.912	1.864	3.937	14.579	909.117	0	5.775	0	0	13.901	3.393	0	0	0	0	2.905
K01586|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.901	0	0	0	0	0	0
K01586|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.838	7.456	11.29	1.864	0	2.783	886.345	0	1.838	0	0	0	1.89	0	0	0	0	0
K01586|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.503	0	0	0	0	1.503
K01586|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.402
K01586|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	7.874	0	0	23.006	0	23.622	0	3.937	11.796	22.771	0	3.937	0	0	0	0	0	0	0	0	0
K01588	0	168.341	0	0	344.022	168.354	592.861	38.065	135.172	152.403	10161.211	0	68.839	0	0	2.571	129.102	0	0	0	0	0
K01588|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	4.908	0	0	127.664	0	0	0	0	0	0	0	0	0	0	0
K01588|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.571	0	0	0	0	0	0
K01588|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	5.102	0	47.453	0	5.102	0	33.144	0	10.198	0	0	0	4.72	0	0	0	0	0
K01588|g__Veillonella.s__Veillonella_parvula	0	168.341	0	0	338.92	168.354	545.408	33.157	130.07	152.403	10000.403	0	58.641	0	0	0	124.382	0	0	0	0	0
K01589	0	3.024	0	0	16.129	2.016	21.17	0	4.999	4.032	38.302	0	10.08	0	0	12.296	16.952	0	0	0	0	1.833
K01589|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.833	0	0	0	0	1.833
K01589|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.296	0	0	0	0	0	0
K01589|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	3.024	0	0	16.129	2.016	21.17	0	4.999	4.032	38.302	0	10.08	0	0	0	15.119	0	0	0	0	0
K01591	0	6.642	0	0	65.053	4.981	48.268	3.336	11.645	4.981	182.611	0	13.339	0	0	0	6.634	0	1.637	0	0	2.577
K01591|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.637	0	0	0
K01591|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.577
K01591|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	6.642	0	0	65.053	4.981	48.268	3.336	11.645	4.981	182.611	0	13.339	0	0	0	6.634	0	0	0	0	0
K01596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.522	0	0	0	0	0	0
K01596|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.522	0	0	0	0	0	0
K01597	0	18.734	0	0	73.724	24.587	45.654	2.341	14.049	7.024	1293.468	0	14.047	0	0	0	16.384	0	0	0	0	0
K01597|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	18.734	0	0	73.724	24.587	45.654	2.341	14.049	7.024	1235.49	0	14.047	0	0	0	16.384	0	0	0	0	0
K01597|unclassified	0	0	0	0	0	0	0	0	0	0	57.978	0	0	0	0	0	0	0	0	0	0	0
K01598	0	48.668	0	0	181.055	22.114	174.063	15.482	13.029	37.611	519.33	0	8.85	0	0	0	4.425	0	0	0	0	0
K01598|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	48.668	0	0	181.055	22.114	174.063	15.482	13.029	37.611	519.33	0	8.85	0	0	0	4.425	0	0	0	0	0
K01599	0	90.023	0	3.119	220.288	109.066	248.849	22.242	102.579	42.37	283.675	0	34.932	0	0	16.567	61.399	0	0	0	0	5.103
K01599|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.093	0	0	0	0	0	0
K01599|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.119	0	0	0	0	0	0	0	0	0	0	0	12.474	1.04	0	0	0	0	0
K01599|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.103
K01599|g__Veillonella.s__Veillonella_parvula	0	90.023	0	0	220.288	109.066	248.849	22.242	102.579	42.37	283.675	0	34.932	0	0	0	60.359	0	0	0	0	0
K01601	57.676	2392.736	113.326	128.585	2701.218	985.884	3663.098	376.834	1412.26	955.336	531.645	0	1058.756	11.977	22.706	264.493	1367.783	113.368	108.424	8.92	96.904	71.43
K01601|g__Veillonella.s__Veillonella_parvula	0	2248.893	0	0	2574.99	970.742	3536.328	363.642	1373.459	929.54	531.645	0	1046.985	0	0	0	1192.918	0	0	0	0	0
K01601|unclassified	57.676	143.843	113.326	128.585	126.228	15.141	126.77	13.192	38.801	25.795	0	0	11.771	11.977	22.706	264.493	174.866	113.368	108.424	8.92	96.904	71.43
K01602	133.282	313.623	239.94	284.669	257.532	39.156	221.762	26.601	96.422	66.386	0	0	26.886	39.739	41.764	458.331	344.277	321.49	170.599	19.226	188.681	140.894
K01602|unclassified	133.282	313.623	239.94	284.669	257.532	39.156	221.762	26.601	96.422	66.386	0	0	26.886	39.739	41.764	458.331	344.277	321.49	170.599	19.226	188.681	140.894
K01607	0	71.52	0	0	97.109	64.71	106.938	14.388	50.21	10.791	71.904	0	10.265	0	0	0	50.36	8.696	0	0	0	0
K01607|g__Veillonella.s__Veillonella_parvula	0	71.52	0	0	97.109	64.71	103.553	14.388	50.21	10.791	71.904	0	10.265	0	0	0	50.36	0	0	0	0	0
K01607|unclassified	0	0	0	0	0	0	3.385	0	0	0	0	0	0	0	0	0	0	8.696	0	0	0	0
K01609	0	8.98	0	0	22.42	13.469	118.15	0	0	0	5.988	0	23.95	0	0	5.988	29.938	0	0	0	0	0
K01609|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.988	0	0	0	0	0	0
K01609|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	8.98	0	0	22.42	13.469	118.15	0	0	0	5.988	0	23.95	0	0	0	29.938	0	0	0	0	0
K01610	0	2580.163	0	10.153	4828.906	1952.536	5953.507	585.805	1487.811	1174.846	3530.852	0	843.813	0	0	8.971	1037.127	0	0	0	0	0
K01610|g__Veillonella.s__Veillonella_parvula	0	2575.18	0	0	4685.597	1952.536	5725.19	585.805	1483.766	1174.846	3412.696	0	843.813	0	0	0	1037.127	0	0	0	0	0
K01610|unclassified	0	4.983	0	10.153	143.309	0	228.316	0	4.045	0	118.156	0	0	0	0	8.971	0	0	0	0	0	0
K01611	0	1178.989	0	0	1984.836	1117.922	2644.609	339.289	1055.69	500.345	1660.879	0	597.062	0	0	0	664.053	0	0	0	0	0
K01611|g__Veillonella.s__Veillonella_parvula	0	1178.989	0	0	1979.816	1117.922	2644.609	339.289	1055.69	500.345	1660.879	0	597.062	0	0	0	664.053	0	0	0	0	0
K01611|unclassified	0	0	0	0	5.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01613	0	167.873	0	0	440.134	171.508	563.947	51.65	207.967	69.956	2191.932	0	82.775	0	0	0	123.343	0	0	0	0	0
K01613|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	8.235	0	3.303	0	0	0	733.924	0	0	0	0	0	0	0	0	0	0	0
K01613|g__Veillonella.s__Veillonella_parvula	0	167.873	0	0	424.135	171.508	560.644	51.65	207.967	69.956	1458.007	0	82.775	0	0	0	123.343	0	0	0	0	0
K01613|unclassified	0	0	0	0	7.764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01615	0	3244.595	0	0	6893.815	2886.077	10429.956	717.261	3171.208	1340.824	21350.969	0	1794.012	0	0	0	1731.129	0	0	0	0	0
K01615|g__Veillonella.s__Veillonella_parvula	0	3244.595	0	0	6893.815	2886.077	10429.956	717.261	3171.208	1340.824	21350.969	0	1794.012	0	0	0	1731.129	0	0	0	0	0
K01619	0	2731.204	0	0	3999.795	1657.689	5818.048	693.662	1829.926	978.115	6758.174	0	1372.761	0	0	10.695	1445.606	0	10.435	0	0	0
K01619|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.478	0	0	0	0	0	0
K01619|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.217	0	0	10.435	0	0	0
K01619|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	95.902	0	0	356.775	103.004	360.075	14.21	28.235	53.21	4481.295	0	24.864	0	0	0	33.745	0	0	0	0	0
K01619|g__Veillonella.s__Veillonella_parvula	0	2635.302	0	0	3643.02	1554.685	5457.973	679.452	1801.691	924.906	2276.878	0	1347.898	0	0	0	1411.861	0	0	0	0	0
K01623	0	0	0	0	2.659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01623|unclassified	0	0	0	0	2.659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01624	19.245	595.381	28.518	67.564	3614.148	801.143	2146.744	98.525	247.848	529.956	69937.508	0	227.396	0	0	80.838	221.954	64.855	25.933	0	28.539	19.557
K01624|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	42.661	39.387	60.165	6.565	0	24.028	4358.698	0	15.238	0	0	0	8.75	0	0	0	0	0
K01624|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.798	0	0	0	0	0	0
K01624|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.279	0	0	0	0	0	0
K01624|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	534.32	0	0	3529.404	753.819	2063.94	91.96	229.938	494.446	65536.196	0	212.158	0	0	0	157.126	0	0	0	0	0
K01624|unclassified	19.245	61.061	28.518	67.564	42.083	7.937	22.638	0	17.91	11.481	42.614	0	0	0	0	68.761	56.077	64.855	25.933	0	28.539	19.557
K01626	0	50.006	0	0	204.489	37.551	323.832	5.365	21.5	31.007	170.467	0	26.832	0	0	10.613	27.613	16.265	0	0	0	0
K01626|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.613	0	0	0	0	0	0
K01626|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791	0	0	0	0	0
K01626|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	28.969	0	0	188.801	37.551	323.832	5.365	21.5	31.007	170.467	0	26.832	0	0	0	26.823	0	0	0	0	0
K01626|unclassified	0	21.038	0	0	15.688	0	0	0	0	0	0	0	0	0	0	0	0	16.265	0	0	0	0
K01627	0	1213.726	0	0	3614.93	1183.809	4499.376	256.025	1109.787	609.382	3301.542	0	816.918	0	0	0	923.859	2.782	0	0	0	0
K01627|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	3.035	0	9.1	3.035	0	9.105	733.521	0	0	0	0	0	3.035	0	0	0	0	0
K01627|g__Veillonella.s__Veillonella_parvula	0	1213.726	0	0	3611.895	1183.809	4490.276	252.99	1109.787	600.277	2568.02	0	816.918	0	0	0	920.824	2.782	0	0	0	0
K01633	0	0	0	0	0	0	10.679	0	0	0	219.173	0	0	0	0	7.693	0	0	3.802	0	0	13.328
K01633|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.891	0	0	0	0	0	0
K01633|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	10.679	0	0	0	219.173	0	0	0	0	0	0	0	0	0	0	0
K01633|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.802	0	0	3.802	0	0	3.774
K01633|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.554
K01635	0	0	0	0	80.353	13.621	63.515	5.675	18.828	5.675	7506.449	0	27.221	0	0	0	21.561	0	0	0	0	0
K01635|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	80.353	13.621	63.515	5.675	18.828	5.675	7506.449	0	27.221	0	0	0	21.561	0	0	0	0	0
K01637	0	0	0	8.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01637|unclassified	0	0	0	8.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01639	0	7.282	0	0	53.778	3.667	48.819	4.764	11.001	2.445	2047.813	0	9.78	0	0	0	15.829	0	0	0	0	0
K01639|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	7.282	0	0	53.778	3.667	48.819	4.764	11.001	2.445	2047.813	0	9.78	0	0	0	15.829	0	0	0	0	0
K01644	0	1120.263	0	0	1666.561	1156.383	2532.714	125.733	975.157	730.15	620.592	0	496.258	0	0	2.577	523.854	0	0	0	0	2.577
K01644|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.577	0	0	0	0	0	2.577
K01644|g__Veillonella.s__Veillonella_parvula	0	1120.263	0	0	1666.561	1156.383	2532.714	125.733	975.157	730.15	620.592	0	496.258	0	0	0	523.854	0	0	0	0	0
K01647	0	0	0	0	4.181	0	0	0	0	0	0	0	0	0	0	1.685	3.368	2.527	6.74	0	0	0
K01647|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.685	3.368	2.527	6.74	0	0	0
K01647|unclassified	0	0	0	0	4.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01649	0	56.729	0	2.478	486.003	73.114	622.576	19.82	47.843	37.544	12.303	0	58.076	0	0	4.202	81.167	0	2.43	0	0.608	1.825
K01649|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.478	0	0	0	0	0	0	0	0	0	0	0	0	1.247	0	2.43	0	0.608	1.825
K01649|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.202	0	0	0	0	0	0
K01649|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	56.729	0	0	486.003	73.114	622.576	19.82	47.843	37.544	12.303	0	58.076	0	0	0	79.921	0	0	0	0	0
K01652	0	241.905	0	0	359.116	176.833	547.084	49.101	186.614	146.736	831.859	0	127.036	0	0	4.704	117.266	0	0	0	0	2.351
K01652|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.704	0	0	0	0	0	2.351
K01652|g__Veillonella.s__Veillonella_parvula	0	241.905	0	0	359.116	176.833	547.084	49.101	186.614	146.736	831.859	0	127.036	0	0	0	117.266	0	0	0	0	0
K01653	0	392.524	0	0	1454.483	283.799	2232.784	92.845	89.606	214.318	418.538	0	164.428	0	0	27.721	214.5	0	0	0	0	0
K01653|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.95	0	0	0	0	0	0
K01653|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	392.524	0	0	1454.483	283.799	2232.784	92.845	89.606	214.318	418.538	0	164.428	0	0	0	214.5	0	0	0	0	0
K01653|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.771	0	0	0	0	0	0
K01657	0	5.543	0	0	9.505	11.874	58.607	1.585	2.377	0	4.751	0	19.003	0	0	0	13.464	0	0	0	0	0
K01657|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	5.543	0	0	9.505	11.874	58.607	1.585	2.377	0	4.751	0	19.003	0	0	0	13.464	0	0	0	0	0
K01658	0	0	0	0	0	0	0	0	0	0	159.486	0	0	0	0	2.062	0	0	0	0	0	0
K01658|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.062	0	0	0	0	0	0
K01658|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	159.486	0	0	0	0	0	0	0	0	0	0	0
K01661	0	2152.18	4.622	0	3478.636	1425.406	4289.603	416.742	1492.637	815.83	6228.77	0	872.139	0	0	7.44	871.171	2.692	1.189	0	0	1.239
K01661|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	2.747	0	0	0	0	116.732	0	0	0	0	0	0	0	0	0	0	0
K01661|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.44	0	0	1.189	0	0	1.239
K01661|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.342	0	0	0	0	0
K01661|g__Veillonella.s__Veillonella_parvula	0	1798.501	0	0	3387.134	1204.716	4132.71	387.095	1262.621	688.655	5929.13	0	737.89	0	0	0	827.157	2.692	0	0	0	0
K01661|unclassified	0	353.68	4.622	0	91.502	217.942	156.893	29.646	230.016	127.176	182.908	0	134.249	0	0	0	41.672	0	0	0	0	0
K01662	0	0	0	0	1.087	3.297	2.198	1.099	0	0	191.648	0	1.099	0	0	3.38	2.225	1.127	3.38	0	0	0
K01662|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.087	3.297	2.198	1.099	0	0	191.648	0	1.099	0	0	0	1.099	0	0	0	0	0
K01662|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38	1.127	1.127	3.38	0	0	0
K01665	0	0	0	0	0	0	0	0	0	0	97.568	0	0	0	0	0	0	0	0	0	0	0
K01665|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	97.568	0	0	0	0	0	0	0	0	0	0	0
K01668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.698	0	0	0	0	0	0
K01668|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.698	0	0	0	0	0	0
K01673	0	624.436	0	0	1284.648	568.437	1506.577	133.54	423.22	252.352	1593.975	0	359.475	0	0	0	341.754	0	0	0	0	0
K01673|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	61.691	0	0	167.895	47.018	88.599	14.704	11.848	17.588	589.835	0	17.582	0	0	0	12.563	0	0	0	0	0
K01673|g__Veillonella.s__Veillonella_parvula	0	562.745	0	0	1116.752	521.419	1417.978	118.836	411.372	234.764	1004.14	0	341.893	0	0	0	329.191	0	0	0	0	0
K01676	0	0	0	0	6.448	7.11	10.989	1.293	0	3.878	571.525	0	3.877	0	0	0	3.878	0	0	0	0	0
K01676|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	6.448	7.11	10.989	1.293	0	3.878	571.525	0	3.877	0	0	0	3.878	0	0	0	0	0
K01677	0	931.572	0	0	1869.643	738.477	2357.615	239.385	604.96	429.801	33432.91	0	420.849	0	0	0	467.869	13.415	0	0	0	0
K01677|g__Veillonella.s__Veillonella_parvula	0	931.572	0	0	1869.643	738.477	2357.615	239.385	604.96	429.801	33432.91	0	420.849	0	0	0	467.869	13.415	0	0	0	0
K01679	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	16.932	0	1.53	0	0	0	0
K01679|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.811	0	0	0	0	0	0
K01679|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	6.121	0	1.53	0	0	0	0
K01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.654	0	0	8.921	0	0	0
K01682|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.654	0	0	8.921	0	0	0
K01686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.157	0	0	2.053	0	0	0
K01686|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.157	0	0	2.053	0	0	0
K01687	0	1178.394	0	0	2994.827	873.089	4637.508	261.807	1042.127	414.949	1014.956	0	760.636	0	0	11.012	901.718	0	0	0	0	1.114
K01687|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15	0	0	0	0	0	0
K01687|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.142	3.422	0	0	0	0	1.114
K01687|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.72	0	0	0	0	0	0
K01687|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	193.815	0	0	733.635	200.07	1765.381	46.128	134.618	81.019	859.805	0	169.547	0	0	0	210.029	0	0	0	0	0
K01687|g__Veillonella.s__Veillonella_parvula	0	984.578	0	0	2261.191	673.019	2872.127	215.679	907.509	333.93	155.151	0	591.088	0	0	0	688.267	0	0	0	0	0
K01689	0	1733.595	0	0	6051.2	1471.479	6589.385	351.403	1209.736	902.068	43218.515	0	1007.777	0	0	10.093	1131.838	5.731	5.08	0	13.387	0
K01689|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	26.437	18.212	46.354	17.383	0	17.353	3844.336	0	1.656	0	0	0	15.728	0	0	0	0	0
K01689|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.693	2.54	5.08	0	3.387	0
K01689|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.773	3.387	0	0	0	0	0
K01689|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32	0	0	0	0	0	0
K01689|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	825.259	0	0	4131.842	841.252	4550.764	160.903	580.553	498.238	37344.489	0	578.134	0	0	0	710.856	0	0	0	0	0
K01689|g__Veillonella.s__Veillonella_parvula	0	908.336	0	0	1881.75	612.015	1979.657	173.117	629.183	386.478	2007.359	0	427.988	0	0	0	395.044	0	0	0	0	0
K01689|unclassified	0	0	0	0	11.171	0	12.61	0	0	0	22.332	0	0	0	0	0	5.13	3.191	0	0	10	0
K01693	0	2464.382	0	0	5992.162	1856.782	8717.282	498.014	2266.734	1325.822	101.821	0	1646.953	0	0	11.516	1805.498	0	3.835	0	0	0
K01693|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.516	1.916	0	3.835	0	0	0
K01693|g__Veillonella.s__Veillonella_parvula	0	2464.382	0	0	5992.162	1856.782	8717.282	498.014	2266.734	1325.822	101.821	0	1646.953	0	0	0	1803.582	0	0	0	0	0
K01695	0	19.198	0	0	29.538	7.386	155.079	2.954	2.954	0	0	0	25.109	0	0	2.928	41.348	0	1.361	0	0	0
K01695|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.361	0	0	0
K01695|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.928	0	0	0	0	0	0
K01695|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	19.198	0	0	29.538	7.386	155.079	2.954	2.954	0	0	0	25.109	0	0	0	41.348	0	0	0	0	0
K01696	0	144.897	0	0	275.823	74.075	559.094	16.531	89.328	52.106	117.231	0	82.564	0	0	3.412	103.082	0	3.413	0	0.853	0
K01696|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.412	3.413	0	3.413	0	0.853	0
K01696|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	58.537	0	0	140.869	25.727	392.005	11.047	14.518	11.085	82.553	0	32.352	0	0	0	54.15	0	0	0	0	0
K01696|g__Veillonella.s__Veillonella_parvula	0	86.36	0	0	134.954	48.348	167.09	5.484	74.81	41.021	34.678	0	50.212	0	0	0	45.519	0	0	0	0	0
K01697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.645	0	0	0	0
K01697|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.645	0	0	0	0
K01698	0	603.193	0	0	1823.812	590.598	2296.501	87.988	685.125	197.614	468.254	0	309.65	0	0	0	408.754	1.143	4.444	0	0	0
K01698|g__Veillonella.s__Veillonella_parvula	0	603.193	0	0	1823.812	590.598	2296.501	87.988	685.125	197.614	468.254	0	309.65	0	0	0	408.754	1.143	0	0	0	0
K01698|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.444	0	0	0
K01703	0	180.185	0	0	354.82	141.217	940.992	36.359	200.166	59.925	71.921	0	182.293	0	0	8.452	165.813	0	0	0	0	0
K01703|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.996	0	0	0	0	0	0
K01703|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.456	0	0	0	0	0	0
K01703|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	47.51	0	0	187.662	57.67	607.644	14.808	52.904	11.691	11.683	0	116.782	0	0	0	101.232	0	0	0	0	0
K01703|g__Veillonella.s__Veillonella_parvula	0	132.675	0	0	167.159	83.547	333.348	21.55	147.262	48.234	60.238	0	65.511	0	0	0	64.581	0	0	0	0	0
K01704	0	256.335	0	0	554.536	149.084	884.382	38.087	154.138	101.662	132.745	0	216.005	0	0	0	228.361	0	0	0	0	0
K01704|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	52.623	0	0	200.352	72.87	553.565	20.243	44.534	8.093	16.194	0	159.882	0	0	0	111.204	0	0	0	0	0
K01704|g__Veillonella.s__Veillonella_parvula	0	203.711	0	0	354.185	76.214	330.817	17.844	109.604	93.569	116.55	0	56.122	0	0	0	117.157	0	0	0	0	0
K01710	0	45.026	0	0	136.357	43.309	148.346	1.116	13.971	25.895	1701.734	0	33.899	0	0	4.376	28.061	0	0	0	0	0
